CommitmentID,CommitmentDate,FinancialYear,PurchaseRequisitionReference,PurchaseOrderReference,ProgrammeCode,DirectorateCode,CostCentreCode,RegionCode,ActivityCode,VoteCode,FundSourceCode,SupplierCategory,CommitmentAmount,AmountInvoiced,AmountPaid,OutstandingCommitment,ExpectedDeliveryDate,CommitmentStatus,DaysOutstanding,ResponsibleRole,RiskRating
CMT-000001,2023-07-16,FY2023/2024,PR-558895,PO-365593,PRG-11,DIR-11,CC-011,RG-01,ACT-026,V-2410,FS-01,Consultancy,2391000,0,0,2391000,2023-09-20,Overdue,1050,Procurement Officer,Critical
CMT-000002,2023-12-23,FY2023/2024,PR-297279,PO-935200,PRG-02,DIR-02,CC-002,RG-01,ACT-035,V-4110,FS-03,Consultancy,3207000,0,0,3207000,2024-05-07,Overdue,890,Procurement Officer,Critical
CMT-000003,2023-10-10,FY2023/2024,PR-858214,PO-556932,PRG-12,DIR-12,CC-026,RG-04,ACT-028,V-2460,FS-01,Construction,894000,640000,538000,0,2023-12-08,Cancelled,964,Cost Centre Manager,Critical
CMT-000004,2023-12-08,FY2023/2024,PR-505244,PO-492485,PRG-03,DIR-03,CC-003,RG-01,ACT-006,V-2530,FS-02,Fuel and Lubricants,1592000,1592000,1556000,36000,2024-04-06,Partially Paid,905,Project Manager,Critical
CMT-000005,2023-09-02,FY2023/2024,PR-854811,PO-173573,PRG-09,DIR-09,CC-009,RG-01,ACT-021,V-4110,FS-01,ICT Services,1046000,1046000,961000,85000,2023-11-15,Partially Paid,1002,Project Manager,Critical
CMT-000006,2023-09-23,FY2023/2024,PR-443411,PO-659630,PRG-12,DIR-12,CC-012,RG-01,ACT-027,V-2380,FS-03,Fuel and Lubricants,734000,390000,162000,572000,2023-11-28,Partially Paid,981,Project Manager,Critical
CMT-000007,2023-08-06,FY2023/2024,PR-623118,PO-659255,PRG-07,DIR-07,CC-007,RG-01,ACT-018,V-2210,FS-02,Maintenance,1615000,0,0,1615000,2023-11-19,Overdue,1029,Project Manager,Critical
CMT-000008,2024-02-18,FY2023/2024,PR-748177,PO-246011,PRG-13,DIR-13,CC-014,RG-01,ACT-030,V-4120,FS-03,Printing and Stationery,2558000,2181000,619000,1939000,2024-07-13,Partially Paid,833,Cost Centre Manager,Critical
CMT-000009,2024-05-07,FY2023/2024,PR-943542,PO-503187,PRG-13,DIR-13,CC-014,RG-01,ACT-030,V-2212,FS-01,Printing and Stationery,546000,546000,476000,70000,2024-06-29,Partially Paid,754,Procurement Officer,Critical
CMT-000010,2023-10-28,FY2023/2024,PR-450590,PO-107562,PRG-12,DIR-12,CC-028,RG-02,ACT-028,V-4120,FS-01,Construction,108000,0,0,108000,2024-03-27,Overdue,946,Procurement Officer,Critical
CMT-000011,2023-10-19,FY2023/2024,PR-318152,PO-790794,PRG-13,DIR-13,CC-014,RG-01,ACT-030,V-3120,FS-02,Professional Services,186000,0,0,186000,2024-02-19,Overdue,955,Project Manager,Critical
