ReallocationReference,RequestDate,ApprovalDate,FinancialYear,RequestingCostCentre,RequestingDirectorate,SourceCostCentre,SourceActivity,SourceVoteCode,DestinationCostCentre,DestinationActivity,DestinationVoteCode,ReallocationAmount,Reason,RequestedByRole,ReviewedByRole,ApprovedByRole,Status,ProcessingDate,SupportingDocument,DaysToApproval,DaysToProcess
RLC-FY2023/20-0001,2024-01-01,2024-01-16,FY2023/2024,CC-030,DIR-11,CC-029,ACT-025,V-2510,CC-030,ACT-025,V-2210,2391000,Performance contract revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-21,RLC-629663,15,5.0
RLC-FY2023/20-0002,2024-02-14,2024-02-28,FY2023/2024,CC-004,DIR-04,CC-014,ACT-029,V-2510,CC-004,ACT-008,V-2410,2546000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-03-13,RLC-460971,14,14.0
RLC-FY2023/20-0003,2023-09-22,,FY2023/2024,CC-014,DIR-13,CC-006,ACT-015,V-2540,CC-014,ACT-029,V-2120,2056000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-778827,39,
RLC-FY2023/20-0004,2023-07-05,2023-08-07,FY2023/2024,CC-015,DIR-13,CC-008,ACT-019,V-2440,CC-015,ACT-030,V-5110,296000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-22,RLC-730343,33,15.0
RLC-FY2023/20-0005,2023-11-18,2023-12-18,FY2023/2024,CC-015,DIR-13,CC-027,ACT-027,V-2520,CC-015,ACT-029,V-3110,3621000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-02,RLC-581294,30,15.0
RLC-FY2023/20-0006,2024-01-20,2024-02-29,FY2023/2024,CC-012,DIR-12,CC-009,ACT-021,V-3110,CC-012,ACT-028,V-5120,4157000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-03-02,RLC-688730,40,2.0
RLC-FY2023/20-0007,2024-03-03,,FY2023/2024,CC-012,DIR-12,CC-022,ACT-040,V-2540,CC-012,ACT-040,V-3110,3485000,Work plan revision,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-390334,7,
RLC-FY2023/20-0008,2023-07-30,2023-09-09,FY2023/2024,CC-021,DIR-13,CC-009,ACT-022,V-2310,CC-021,ACT-029,V-5120,3874000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-09-16,RLC-856320,41,7.0
RLC-FY2023/20-0009,2023-07-19,,FY2023/2024,CC-028,DIR-12,CC-001,ACT-039,V-2520,CC-028,ACT-028,V-2440,2142000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,,Returned for Clarification,,RLC-459836,40,
RLC-FY2023/20-0010,2023-12-31,,FY2023/2024,CC-032,DIR-11,CC-024,ACT-040,V-5130,CC-032,ACT-025,V-4120,4551000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,,Pending,,RLC-408054,35,
RLC-FY2023/20-0011,2023-12-19,2024-02-01,FY2023/2024,CC-008,DIR-08,CC-004,ACT-037,V-2520,CC-008,ACT-019,V-2340,4745000,Vote exhaustion risk,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-02-03,RLC-880360,44,2.0
RLC-FY2023/20-0012,2023-11-28,2023-12-30,FY2023/2024,CC-025,DIR-12,CC-029,ACT-026,V-3130,CC-025,ACT-028,V-2410,1451000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-13,RLC-765213,32,14.0
RLC-FY2023/20-0013,2024-01-12,2024-02-17,FY2023/2024,CC-009,DIR-09,CC-020,ACT-029,V-2360,CC-009,ACT-022,V-5110,775000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-02-22,RLC-244037,36,5.0
RLC-FY2023/20-0014,2023-10-01,2023-10-09,FY2023/2024,CC-021,DIR-13,CC-007,ACT-018,V-4110,CC-021,ACT-030,V-2310,1719000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-10-17,RLC-428638,8,8.0
RLC-FY2023/20-0015,2023-09-25,2023-11-03,FY2023/2024,CC-031,DIR-11,CC-021,ACT-029,V-2460,CC-031,ACT-025,V-2530,1205000,Savings from completed activity,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-11-16,RLC-235691,39,13.0
RLC-FY2023/20-0016,2024-01-13,2024-01-16,FY2023/2024,CC-010,DIR-10,CC-021,ACT-030,V-2430,CC-010,ACT-024,V-2450,4834000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-17,RLC-114760,3,1.0
RLC-FY2023/20-0017,2023-11-05,,FY2023/2024,CC-015,DIR-13,CC-030,ACT-026,V-2120,CC-015,ACT-029,V-2110,3208000,Donor compliance requirement,Cost Centre Manager,Head of Budget,,Rejected,,RLC-235193,17,
RLC-FY2023/20-0018,2023-11-30,2023-12-21,FY2023/2024,CC-014,DIR-13,CC-004,ACT-037,V-2330,CC-014,ACT-030,V-2212,4154000,Work plan revision,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-12-29,RLC-554730,21,8.0
RLC-FY2023/20-0019,2023-09-23,2023-10-21,FY2023/2024,CC-011,DIR-11,CC-030,ACT-025,V-4130,CC-011,ACT-026,V-3140,3801000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-10-22,RLC-321449,28,1.0
RLC-FY2023/20-0020,2023-07-20,2023-08-16,FY2023/2024,CC-008,DIR-08,CC-025,ACT-027,V-2240,CC-008,ACT-019,V-2410,3613000,Priority activity underfunded,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2023-08-31,RLC-722774,27,15.0
RLC-FY2023/20-0021,2024-01-11,2024-01-21,FY2023/2024,CC-020,DIR-13,CC-002,ACT-003,V-2211,CC-020,ACT-029,V-2240,2201000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-01-30,RLC-315477,10,9.0
RLC-FY2023/20-0022,2024-03-23,2024-04-12,FY2023/2024,CC-031,DIR-11,CC-023,ACT-040,V-3110,CC-031,ACT-025,V-2440,3376000,Emergency requirement in destination,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-22,RLC-539170,20,10.0
RLC-FY2023/20-0023,2024-03-11,2024-03-26,FY2023/2024,CC-014,DIR-13,CC-028,ACT-027,V-2540,CC-014,ACT-029,V-2240,3967000,Donor compliance requirement,Cost Centre Manager,Head of Budget,"Director, Finance and Accounts",Approved,2024-04-05,RLC-971889,15,10.0
