ExceptionID,DetectionDate,FinancialYear,DirectorateCode,CostCentreCode,RegionCode,TransactionReference,ExceptionType,ExceptionDescription,AmountAtRisk,RiskRating,ResponsibleRole,CorrectiveAction,TargetResolutionDate,ResolutionDate,Status,DaysOutstanding,RepeatFindingFlag
EXC-000001,2023-09-12,FY2023/2024,DIR-06,CC-006,RG-01,TXN-371335,Unsupported Reallocation,Unsupported Reallocation identified in Information and Communication Technology Directorate - HQ,347000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2023-12-11,,Open,292,No
EXC-000002,2023-07-07,FY2023/2024,DIR-13,CC-016,RG-03,TXN-746241,Approval-Control Gap,Approval-Control Gap identified in Regional Office - Coast Region,155000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2023-09-21,,Escalated,359,Yes
EXC-000003,2023-08-11,FY2023/2024,DIR-12,CC-024,RG-05,TXN-240434,Missing Supporting Documents,Missing Supporting Documents identified in Infrastructure Project Unit 03,222000,High,Procurement Officer,Obtain missing documents and repost transaction,2023-09-17,,Escalated,324,No
EXC-000004,2024-01-17,FY2023/2024,DIR-11,CC-032,RG-01,TXN-856924,Expenditure Above Budget,Expenditure Above Budget identified in Technical Service Unit 04,313000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2024-03-07,,In Progress,165,No
EXC-000005,2023-08-03,FY2023/2024,DIR-13,CC-013,RG-01,TXN-815176,Unsupported Reallocation,Unsupported Reallocation identified in Regional Operations Directorate - HQ,793000,Medium,Cost Centre Manager,Obtain missing documents and repost transaction,2023-10-09,,In Progress,332,No
EXC-000006,2024-05-07,FY2023/2024,DIR-13,CC-017,RG-04,TXN-151764,Procurement Non-Compliance,Procurement Non-Compliance identified in Regional Office - Eastern Region,1394000,High,Procurement Officer,Obtain missing documents and repost transaction,2024-08-01,2024-08-17,Resolved,54,No
EXC-000007,2024-06-20,FY2023/2024,DIR-13,CC-014,RG-01,TXN-832016,Incorrect Vote Code,Incorrect Vote Code identified in Regional Office - Nairobi Region,890000,High,Chief Accountant,Obtain missing documents and repost transaction,2024-08-06,,Open,10,No
EXC-000008,2023-12-29,FY2023/2024,DIR-08,CC-008,RG-01,TXN-980709,Incorrect Vote Code,Incorrect Vote Code identified in Internal Audit and Risk Directorate - HQ,596000,Low,Procurement Officer,Obtain missing documents and repost transaction,2024-03-18,,Escalated,184,No
EXC-000009,2023-09-15,FY2023/2024,DIR-13,CC-016,RG-03,TXN-536666,Long-Outstanding Commitment,Long-Outstanding Commitment identified in Regional Office - Coast Region,1478000,Medium,Chief Accountant,Obtain missing documents and repost transaction,2023-10-20,,Open,289,No
EXC-000010,2024-03-13,FY2023/2024,DIR-06,CC-006,RG-01,TXN-473088,Duplicate Payment Risk,Duplicate Payment Risk identified in Information and Communication Technology Directorate - HQ,1368000,Low,Cost Centre Manager,Obtain missing documents and repost transaction,2024-05-08,,In Progress,109,No
